arabic,english
اراد توم استدعاء الشرطه ولكن ماري لم تسمح له,tom wanted to call the police but mary wouldnt let him
سواء عندي انضمامه من عدمه,it makes no difference to me whether he joins us or not
انا اقرا كتابه,i read his book
هي تذهب الي المدرسه مشيا علي الاقدام,she goes to school on foot
اتدرس الانجليزيه,do you study english
اهذه دراجتك,is this your bicycle
ساخذ هذه المظله,ill take this umbrella
نريد ان نعرف لماذا,we want to know why
مرحبا توم صباح الخير,hello tom good morning
كل سنه و انتم بخير,happy new year
نحن اتون,we are coming
ساخذ سيارتي,im going to take my car
هل ذاك الكتاب لك,is this book yours
لوح توم,tom waved
لا تقلق بشان الاشياء الغير مهمه,dont worry about things that arent important
هي وضعت المجله علي المنضده,she put the magazine on the table
انه صناعي,its artificial
لا احب الطريقه التي يتكلم بها,i dont like the way he speaks
انا سادفع الحساب,ill pay the bill
السيارات وصلت واحده تلو الاخري,cars arrived there one after another
وضع بعض النقود المعدنيه في الصندوق,he put some coins in the box
لقد تم معاقبتهم علي جرائمهم,they were punished for their crimes
انا لا الومك,i dont blame you
باتت هذه ارضنا الان,this is our land now
برشفه واحده,bottoms up
توم ليس متسامحا مثلي,tom isnt as tolerant as i am
اندلعت الحرب فجاه,war suddenly broke out
توم سعيد,tom is happy
بني سياجا حول بيته,he built a fence around his house
سانصحك نصيحه مفيده,ill give you a good piece of advice
يبدو توم مشغولا جدا اليوم,tom looks very busy today
تحاول دائما لوم شخص اخر,you always try to blame somebody else
يبدو مريبا,he looks suspicious
شخص ما ياكل,somebody is eating
نحن لسنا الوحيدين الذين يعتقدون انه غير مذنب,we are not the only ones who believe that he is not guilty
انا مواطن امريكي,i am an american citizen
فهمته,i got it
اين الملابس التي تحتاج الي غسل,where is the laundry
اختلف معك,i disagree with you
ابدا لا يفكر توم بالاخرين,tom never thinks about others
الرقم الذري للهيدروجين هو واحد,the atomic number for hydrogen is 1
عندي كتاب,i have a book
يفضل الا تذهب,you shouldnt go
اتعديني,do you promise
هل تتكلم معي,are you talking to me
تظاهر بانه طبيب,he pretended to be a doctor
دعونا نتكلم عن شخص ٱخر ا,lets talk about somebody else
مالداعي لوجود توم هنا اصلا,why is tom even here
يجب ان افكر بالامر,ill have to think it over
رجاء اهتم بامورك,kindly mind your own business
انا تحدثت مع توم,ive got to speak to tom
صاروا لاعبي كره قدم محترفين,they became professional soccer players
امل الا يكون توم في اثرنا,i hope tom isnt looking for us
لا اعلم,i dont know
ليس لديك ما تخشاه,you have nothing to fear
توم يريد ان يعرف م اذا كانت تؤلم,tom wants to know if it hurts
انا فخور بنفسي,im proud of myself
ادرس بجد كي لا ترسب,study hard so you dont fail
لدي كتب قراتها مرارا وتكرارا,i have books that ive reread several times
مبارك,congratulations
لن يغير التذمر شيئا,complaining wont change anything
احتاج مساعده طبيه,i need medical help
انا اصغر منك بثلاث سنين,im three years younger than you
دعنا نحصل علي زجاجه من الويسكي,lets get a bottle of whiskey
هؤلاء الطلاب كورييون,those students are korean
انا ات,i am coming
لا يمكننا النوم بسبب الازعاج,we cant sleep because of the noise
اتركني ادخل لو سمحت,let me in please
ذهبت الي المقهي بالامس,i went to the coffee shop yesterday
ساذهب الي هناك حتي و لو امطرت,i will go there even if it rains
اخي يحب الموسيقي,my brother likes music
اي نوع من المعلومات تجد في الانترنت,what sort of information do you get on the internet
كل ما تحتاجه هو الحب,all you need is love
اوافقه الراي,i agree with his opinion
انه لطيف,he is nice
لا تقلق انا لن اقول للشرطه,dont worry im not going to tell the police
انصحك بعدم مصاحبه توم,i advise you not to keep company with tom
درس البارحه طوال الليل,last night he studied all night long
البارحه كان عيد ميلادي,yesterday was my birthday
لا اعرف ماذا اقول,i just dont know what to say
لن اطلب المساعده من توم مره اخري,ill never ask tom for help again
انها في الحمام,she is in the bathroom
دعنا نتقاسم النفقات,lets share the expenses
لا اعرف ماذا افعل,i dont know what to do
انها تريد شراء هديه لصديقها,she wants to buy a present for her boyfriend
معدلات الكولسترول في دمي عاليه,my cholesterol levels are high
زعموا انه قتلها,they claimed that hed killed her
اخبرتك بالحقيقه عندما بحت بحبي لك,i told you the truth when i told you i loved you
انهم يكافحون من اجل الحريه,they are struggling for freedom
لا استطيع تصديق عيني,i cant believe my eyes
توم كان وسيما للغايه,tom was extraordinarily handsome
انت الواحد والوحيد الذي يستطيع انقاذ العالم,you are the only one who can save the world
انه يستعد للامتحان,he is preparing for the test
من الافضل لك الا تذهب,youd better not go
عليك النوم,you should sleep
يشرب توم القهوه يوميا,tom drinks coffee every day
الجو حار اليوم,its hot today
الصين غنيه بالموارد الطبيعيه,china is rich in natural resources
اتت لتراني,she came to see me
ليس واجب علينا فعل ذلك يوميا,we dont have to do this every day
لا احد يعيش هنا بعد الان,no one lives here anymore
اننا رجال,we are men
من فضلك هلا اخبرتني اسمك ثانيه,would you please tell me your name again
لست سريعا بما فيه الكفايه,youre not fast enough
انا اشك في انه محام,i doubt if he is a lawyer
اتصل بي,call me
اريد ان اكون رائد فضاء,i want to be an astronaut
خذ وقتك لست في عجله من امري,take your time theres no hurry
سناكل كثيرا الليله امل انك لست علي حميه,were going to eat a lot tonight so i hope youre not on a diet
لدي اشياء اهم لافعلها,i have more important things to do
ما عنوانك,what is your address
سنستمر في هذا حتي يمنعنا احدهم,were going to keep doing this until someone tells us that we cant
لم لا تات لزيارتنا,why dont you come visit us
نسيت ان اساله,i forgot to ask him
رايت ذلك بام عيني,i saw it with my own eyes
ما يزال يذكر اليوم الذي اكتشفت فيه امه انه يدخن,he still remembers the day his mother found out he was smoking
سمع صرخه,he heard a shout
هناك الكثير من الامور التي لا تعرفها عن شخصيتي,there are a lot of things you dont know about my personality
ابي اعتاد ان يكون رجلا قويا,my father used to be a strong man
لم انت مستعجل,why are you in such a hurry
لا يجب علي ان اتي هنا,i shouldnt have come here
نحن في الخريف الان,its fall now
وجب علي السياح مغادره البلده قبل حلول الفجر,the tourists had to leave the town before dawn
شكرا علي قدومك,thank you for coming
كيف تعلمين هذا,how do you know that
لم ارك منذ زمن,long time no see
تسببت العاصفه بخسائر فادحه,the storm caused a lot of damage
انهم كبار جدا,they are very big
لا تستطيع السباحه هنا,you cannot swim here
لطالما احببتك,ive always loved you
متي يحين دوري,when do i get my turn
يعجبه ان يغني في حوض الاستحمام,he likes to sing in the bathtub
لا يصدق,its incredible
هو تجاوز الاربعين,he is past forty
هل لك ان ترد علي الهاتف,answer the telephone will you
قسمت الكعكه الي سته قطع,she divided the cake into six pieces
استيقظت للتو,i just got up
هل جننت,have you gone nuts
اختفي بلا اثر,he disappeared without a trace
سافتقد بوسطن,im going to miss boston
هو ذئب في ثياب النعاج,he is a wolf in sheeps clothing
هل انهيت كل واجباتك,have you done all your homework
هل خربت شيئا,did you break something
الي بدليل الهاتف,may i see the telephone directory
هذا سبب غضبه,that is why he got angry
مازلت اكرهك,i still hate you
اجمع هذه الاعداد,add up these figures
الكنيسه بنيت في القرن الخامس عشر,the church was built in the fifteenth century
دقيقه من فضلك,just a minute
عليك ان تدرس بجهد اكثر من ذلك,you should study harder
طولك مثل طولي,you are as tall as i am
لا ادري اين موقف الباص,i dont know where the bus stop is
بالمناسبه كم ولدا سيذهب,by the way how many kids are going
اعطني الكتاب,give me the book
اطفات المذياع,i turned off the radio
حسب علمي لم تترجم الروايه الي اليابانيه,as far as i know the novel is not translated into japanese
سافكر في الامر,ill think about it
انا ممتن لك لاستضافتك اياي في الحفله,i am grateful to you for inviting me to the party
انتظرت قرابه النصف ساعه,i have been waiting for almost half an hour
جرح في كتفه,he was wounded in the shoulder
انها من فرنسا,she is from france
هل تغير اي شيء,has anything changed
لم يكن لدي خيار سوی الاستلقاء علی السرير طوال اليوم,i had no choice but to stay in bed all day
توم هو الذي دفع ثمن التذاكر,tom is the one who paid for the tickets
هذه ملاحظه في غايه الاهميه,this is an extremely important point
كان ذلك كثيرا,was that too much
هيا دعونا نذهب الي البيت,come on lets go home
لا فائده من المحاوله معك حقا,you really are hopeless
كانت الرياح العاتيه تهب,the wild wind was blowing
عاد من امريكا,he came back from america
سوف يكون عندنا الكثير من الطعام,well have plenty of food
اتساءل لماذا قال توم ذلك,i wonder why tom said that
انك تعطي المساله اكثر مما تستحقه,you are exaggerating the problem
ما زالت قدماي تؤلمانني,my legs still hurt
انا لن اخبر توم,im not going to tell tom
صرخت رعبا,she screamed with terror
ما زال لدينا الكثير من الوقت,we still have more time
قالت بانها ستتصل بك لاحقا,she says she will call you later
انت احسن مني,you are better than me
انا اتحدث عن هذا القلم وليس عن ذاك الموجود هناك علي المكتب,im talking about this pen not that one over there on the desk
بسبب الاحترار العالمي قد تغرق المدن تماما,due to global warming cities could be completely submerged
ليس لدي وقت,i dont have time
المراه تقرا,the woman is reading
سوف اساله,ill ask him
حدث ذلك لي سابقا,thats happened to me before
التقيت بها ذات شتاء قبل عده سنوات,i met her in the winter several years ago
ذاك المنزل صغير جدا,that house is very small
انت تبدو مثل الولد,you look like a boy
افضل الخروج علي البقاء في البيت,i prefer going out to staying at home
نظرت البنت حولها,the girl looked around
يعيش زوجها الان في طوكيو,her husband is now living in tokyo
ايمكنك ان تتكلم اللغه الفرنسيه,can you speak french
انا في البيت,im at home
علي ان اشتري واحده,i must buy one
الكلب صديق الانسان الوفي,a dog is a mans best friend
يستحيل انهاء التقرير في اسبوع,it is impossible to finish the report in a week
قضي الملك علي اعدائه,the king crushed his enemies
لا استطيع ان اخبرها لم يعد الامر بسيطا,i cant tell her now its not that simple anymore
انا جائع للغايه الان,im very hungry now
ساكون هنا طوال الاسبوع,ill be here all week
كرهته,she despised him
يتحركون من مكان الي اخر,they move from place to place
توم يستطيع ان يتحدث ثلاث لغات جيدا,tom is able to speak three languages well
هل مات توم,did tom die
اين المال,wheres the money
عمل بجد,he worked hard
يعزف موسيقي,he is playing music
لا يهم ما تفعله يجب عليك ان تفعل افضل ما لديك,no matter what you do you have to do your best
دعني افكر للحظه,let me think for a minute
لقد اشتريت هذا عندما كنت في الولايات المتحده,i bought this when i was in the united states
يا للروعه,how fascinating
انا مندهش توم,im impressed tom
اذا لم تكن معنا فانت ضدنا,if youre not with us then youre against us
هل تلك الحقيبه السوداء لك,is that black briefcase yours
اصبحت طبيبه,she became a doctor
ما الذي جاء بك الي هنا باكرا هكذا,what made you come here so early
اين فصل توم,where is toms classroom
انا صديقك,im your friend
اين صندوق البريد,where is the mailbox
انه المخرج الوحيد,this is the only way out
صنعتها بنفسي,i made it myself
انه اخي الاصغر,hes my younger brother
انه موجود في البيت الان,hes at home right now
لتوم وماري مزرعه صغيره,tom and mary have a small farm
الطيور علي اشكالها تقع,birds of a feather flock together
اريد شيئا حلوا,i want something sweet
لم تركت وظيفتك,why did you leave your job
اسف لا يمكنني سماعك جيدا,im sorry but i cant hear you well
انتظر لساعه,he has been waiting for an hour
لا تقلق الم اقل ان كل شئ سيجري علي ما يرام,dont worry didnt i say that everything would go well
اعتقدت انني طبيب,she thought that i was a doctor
هذا القارب صالحا للابحار,this boat is seaworthy
لسبب ما مكبر الصوت لم يعمل قبل قليل,for some reason the microphone didnt work earlier
ابتعت له ساعه,i bought him a clock
هل تريديني حقا ان اذهب الي هناك الان,do you really want me to go there right now
اغلق فمك,shut your mouth
اتخذ خيارا,make your choice
تتحرك الحلزونات ببطء,snails move slowly
اشتاق اليك كثيرا,i miss you badly
يبدا الدوام الدراسي في الثامنه و النصف,school begins at eightthirty
كيف علم توم مكان ماري,how did tom know where mary was
لا يظن توم ان ماري في البيت,tom doesnt think that mary is at home
هل تلك صوره لي,is that a picture of me
حيوانات الباندا الضخمه تعيش في الصين فقط,giant pandas live only in china
لدي كحه,i have a cough
اشتريت الطعام فان اشتريت انا الخمره فسنكون متعادلين,you bought the food so if i buy the wine that will even things up
لغتك الانجليزيه تتحسن,your english is improving
كانت مشغوله باعمال منزليه,she was busy with the housework
كوكب المريخ يشبه كوكبنا في نواحي عده,mars resembles our planet in some ways
هيا بنا نذهب الي مكتبي,lets go to my office
هل سبق ان استدنت من شركتك,have you ever borrowed money from your company
يجعلني سعيده جدا,it makes me so happy
تجول السياح حول المحلات التجاريه,the tourists wandered around the stores
عاده ما تخلد الي السرير الساعه التاسعه,she usually goes to bed at nine
املت ان اكون مخطئا,i was hoping i was wrong
هل تعمل لوحدك,do you work alone
احب لعب كره القاعده,i like playing baseball
كيف حالك,how are you
كانوا يستمعون الي المذياع,they were listening to the radio
الم تعد تحبني,arent you in love with me anymore
هل لديكم معرض لمنتجاتكم في المدينه,do you have a showroom for your products in the city
يعتمد اقتصاد الجزيره علي صناعه الصيد,the economy of the island is dependent on the fishing industry
عليك ان تاكل اليافا اكثر,you need to eat more fiber
باركك الله,god bless you
لا تحاول خداعنا,dont try to trick us
كان رخيصا جدا,it was really cheap
صديقي قد وصل,my friend has arrived
اخرج,get out
تفضل بالدخول,come in
غابت لانها مريضه,she is absent because of sickness
من رسم هذه اللوحه,who painted this painting
لدي العديد من الصور,i have many photos
اشتكي توم من انه لم يستطع ايجاد وظيفه,tom complained that he couldnt find a job
انه يتحدث علي التليفون,he is talking on the phone
لقد رايت ذلك من قبل,ive seen that
لماذا لم تسطيع ان تاتي بالامس,why couldnt you come yesterday
يستطيع كل طفل فعل ذلك,any child can do that
ادرك توم بانه لا يستطيع الدراسه ان كان التلفاز يعمل,tom found that he couldnt study with the tv on
ساحاول ايجادهم,ill try to find them
لا اعلم اذا كان توم جائعا ام لا,i dont know whether tom is hungry or not
لقد ساعدت الرجل العجوز علي عبور الطريق,she helped the old man cross the road
علمنا ان توم لن يتاخر,we knew tom wouldnt be late
متي سترجع,when will you be back
عندي منها رساله لك,i have a message for you from her
لدي كلبين واحد ابيض و الاخر اسود,i have two dogs one is white and the other black
لماذا يحدث هذا دائما لي,why does this always happen to me
انت تبدو سائحا,you look like a tourist
اين كتابي,where is my book
لديك ست رسائل غير مقروءه,you have six unread messages
انا ابحث فقط شكرا لك,im just looking thank you
هو ذكي,hes smart
سرق منزلنا عندما كنا مسافرين,our house was robbed while we were away
ابحث عن قفازاتي,im looking for my gloves
اشتريته بالامس,i bought this yesterday
هذا هو الحال,this is the case
ما المبلغ الذي كان عليك دفعه للتذاكر,how much did you have to pay for the tickets
اين الاخرين,where are the others
خطر لي فكره جيده,a good idea occurred to me
لقد كنت معلمه لعامين,ive been a teacher for two years
انا اعرف هؤلاء الفتيات,i know those girls
انا افضل السباحه علي التزلج,i prefer swimming to skiing
اسرع و ستلحق بالقطار,hurry and you will catch the train
حاله لثتك سيئه,your gums are in bad shape
امضينا وقتا ممتعا و نحن نلعب الشطرنج,we had a good time playing chess
انها اطول مني بكثير,shes way taller than me
جريده اليوم تحذر من قدوم عاصفه,todays paper says that a typhoon is coming
تزداد جمالا يوما بعد يوم,she is getting prettier and prettier
افتح فمك,open your mouth
عليك الرحيل,you must go
هل تريدني حقا ان اذهب الي هناك الان,do you really want me to go there right now
هل عندك سياره,do you have a car
انا لست قلقا,im not worried
فقدت حقيبتها,she lost her purse
انا سمين جدا,im so fat
انتبه,take care
حاولت ان احذرك,ive tried to warn you
انهم لا يعرفون لماذا حتي,they dont even know why
بصراحه لا اوافقك الراي,frankly speaking i dont agree with you
ذلك حذاءها,these shoes are hers
هل انتهيت,have you finished
يدرب الفريق مدرب جيد,a good coach trains this team
العواقب وخيمه,the consequences are profound
خذني معك,take me with you
انا لا اضع اللوم عليك,i dont blame you
لدي اخوات,i have sisters
حفظ جميع من في الصف القصيده عن ظهر قلب,everyone in the class learned the poem by heart
انظر الي ذاك البناء الاحمر,look at that red building
انها الملكه,its the queen
انا متاكد ان توم سيكون هنا قريبا,im sure tom will be here soon
سوف يكون عندهم اسئله اكثر كثيرا عننا,theyre going to have a lot more questions than we do
هو ترجم الايه الي اللغه الانكليزيه,he translated the verse into english
ظلت تعمل,she kept working
هل تحب الفرنسيه,do you like french
تحملت الالم بشجاعه,she bore the pain bravely
اخي ابله,my brother is an idiot
لقد انهت قراءه الرساله,she finished reading the letter
وصلت الي طوكيو البارحه,i arrived in tokyo yesterday
متي ستصل الطائره الي طوكيو,what time will the flight arrive in tokyo
لا اعلم من اين اتت,i didnt know where it came from
ليس هذا ما اردت منك رؤيته,thats not what i wanted to show you
اود ان اسال سؤال,i would like to ask a question
هل تعرف السبب,do you know the reason
لست الا زبون,im only a customer
لقد خشي ان يقضي عيد الميلاد في المستشفي,he dreaded having to spend christmas in the hospital
دخل الغرفه بعد خروجك,he entered the room after you left
اشكرك لانك وضحت لي ذلك,thanks for your explanation
هو دائما ما يتعامل معي كطفل,he always treats me like a child
لقد ساعدت العجوز علي عبور الطريق,she helped the old man cross the road
هل يمكنني البقاء هنا الليله,may i stay here tonight
دمر الحريق المدينه,the city was destroyed by fire
لا استطيع ان اصدق هذا,i cant believe it
جعلتني رائحه الطعام جائعا,the smell of food made me hungry
تبادلنا الادوار في القياده,we took turns driving
هذا صعب جدا,this is extremely hard
لدي الكثير من كلمات السر لاتذكرها,i have a lot of passwords to remember
احب اكثر الامريكيين روزفلت,most americans liked roosevelt
حاول ان يتخلص من النمل,he tried to get rid of the ants
دعونا ناخذ قسطا من الراحه,lets get some sleep
نحن نحتاج الي المطر,we need rain
عليك ان تقول الحقيقه,you should tell the truth
الطالبه التي جلست امام المدرسه من المانيا,the female student that sat in front of the teacher is from germany
لا اعرف الا هذا,i know only this
هل هذا هو الحب,is this love
ما اجمل هذه الحديقه,what a beautiful garden
انها بعيده جدا,its too far away
تبدو شاحب الوجه,you look pale
انت تكره السياح اليس كذلك,you hate tourists dont you
اتفقوا علي سعر,they agreed on a price
اقلعت عن التدخين منذ سنه,i gave up smoking a year ago
بالنسبه لي ان ذلك شيء مهم,for me its important
هل لك ان تغلق الباب,shut the door will you
من عرفه احبه,those who know him like him
لديه سيارته الخاصه,he has his own car
اين يمكنني اجراء مكالمه هاتفيه,where can we make a phone call
من الممكن ان لا تاتي,its possible that she wont come
لست نحيفا,im not thin
لم يكن بمقدوره الركض بسرعه كبيره,he couldnt run very fast
الكلمات لا يمكنها التعبير عن شكري بما يكفي,i have no words to express my gratitude
لم يكن من السهل حل هذه المشكله,it wasnt easy to solve this problem
اجهشت بالبكاء,she began crying
اشتري لنا عمي جهاز تلفاز جديد,my uncle brought a new tv set for us
ابق هادئا من فضلك,please be quiet
اؤكد لك صحه هذه المعلومات,i guarantee that this information is correct
الجو حار جدا,it is too hot
ذاك الفندق قريب جدا من البحيره,that hotel was very near the lake
انه يوافقني الراي,he agrees with my opinion
الم نلتقي مسبقا,havent we met before
الام تنظر,what are you looking at
الارمله هي امراه مات زوجها,a widow is a woman whose husband has died
ما ازال افتقد توم,i still miss tom
كان علي الارجح غير صحيح,it was probably not true
لم استطع ان اتي بسبب المطر الغزير,i could not come because of the heavy rain
لناكل السوشي,lets eat sushi
دعني اشرح سبب وصولي متاخرا,let me explain why i arrived late
دعونا نقلب العمله,lets flip a coin
حياتي كانت في خطر,my life was in danger
امطرت مطرا خفيفا البارحه,there was a light rain yesterday
استذهب الي حفله توم الليله,are you going to toms party tonight
الحديد صلب,iron is hard
اعرفه,i know him
هل توم سعيد,is tom happy
لا احد من زملائي يعيشون بالقرب من هنا,none of my classmates live near here
كنت اسبح كل يوم عندما كنت صغيرا,i used to swim every day when i was a child
سجلت رقم هاتفه,i wrote down his phone number
يقارن الناس احيانا بين الموت والنوم,people sometimes compare death to sleep
يجب ان اذهب للمستشفي,i have to go to the hospital
لم يكن توم الوحيد الذي فوت الاجتماع,tom isnt the only one who missed the meeting
طلبت النجده,i called for help
راقب الجزء الخلفي ساراقب انا الجزء الامامي,watch the rear ill watch the front
اظن انك تضيع وقتك,i think youre wasting your time
زوجتي خائفه من قياده سياره جديده,my wife is afraid to drive my new car
لم اعلم بانه كان علي توم فعل ذلك بنفسه,i didnt know tom had to do that by himself
كل سنه و انت بخير,happy new year
قررت ان تستقيل,she decided to resign
كان توم هنا ايضا,tom was also there
من يملك هذا المنزل,who owns this house
ينبغي ان تميز بين الصحيح والخطا,you should distinguish between right and wrong
احدي الحقائب فارغه تماما,one of the suitcases is completely empty
لا استطيع ان اشكرك بما فيه الكفايه,i cant thank you enough
كن معقول,be sensible
ماذا حدث,what happened
لنساعد بعضنا,lets help each other
لا توقفه,dont stop him
حمامك جاهز,your bath is ready
انت شاب اما انا فعلي العكس طاعن في السن,you are young i on the contrary am very old
انا اختلف معك في الراي,i disagree with you
انا متعب لقد كان يوما طويلا,im tired its been a long day
كره القدم هي لعبتي المفضله,football is my favorite game
وقعت سني الاماميه,my front tooth fell out
انا لا افهم,i dont understand
لم يؤذن لي باطلاعك علي ما تريد معرفته,im not allowed to tell what you want to know
امي تقرا مجله,my mother is reading a magazine
ربما ستمطر,it may rain
هذا الحذاء كبير علي,these shoes are too big for me
كم الساعه,what time is it
ليست طفله,shes not a child
الطريقه الافضل لتعلم لغه اجنبيه هي العيش في دوله تستعمل بها هذه اللغه,the best way to learn a foreign language is to go live in a country where its spoken
هنا ام تاخذها معك,here or to go
زرت امريكا,i have visited america
عليك ان تكون صبورا,you have to be patient
الي اين ذهبت,where did you go
ابقي جميع النوافذ مفتوحه,he kept all the windows open
سامحني ارجوك,please forgive me
هذا المكتب لي,this desk is mine
لا شك انه قد تجاوز الستين,he must be over sixty
هو اترع الكاس,he filled the cup to the brim
لا احد يهتم بهذا,nobody cares about that
غايتي هي الا تفعل ما تندم عليه,i just dont want you to do something youll be sorry for
هل الجو ممطر,is it rainy
يبدو توم في حيره,tom looks baffled
هل غاب احد اليوم,is anyone absent today
توم امضي فتره بعد الظهر باكملها مع ماري,tom spent the entire afternoon with mary
هذا الخبز لذيذ,this bread is delicious
هذا يدعو للراحه,thats a relief
ربما قرات هذا الكتاب اصلا,you may have read this book already
شكرا لمساعدتك توم,thanks for your help tom
ليس من السهل حل المشكله,it is not easy to solve the problem
يجب ان تتعلم من اخطائك,you must learn from your mistakes
ساشتري سياره,i will buy a car
هل عندك موقع,do you have a website
لا يمكنك السباحه صحيح,you cant swim can you
اظن ان هذا ما يحدث,i think thats whats happening
خنت ظني فيك,you disappointed me
من تنتظر,who are you waiting for
لقد حدث حادث في ورشه البناء,there has been an accident at the worksite
كشفت حديثا حقائق جديده فيما يتعلق بالصين القديمه,new facts about ancient china have recently come to light
انتظرت توم لوقت طويل,i waited for tom for a long time
حجزت هذه الطاوله,this table is reserved
خطر له فكره جيده,a good idea crossed his mind
وهناك امهات واباء سيظلون مستيقظين بعد ان ينام اطفالهم يتساءلون عن كيف سيسددون اقساط الرهن العقاري الذي اشترو به بيتهم وكيف سيدفعون فواتير اطبائهم او توفير ما يحتاجونه من مال لتسديد رسوم تسجيل ابنائهم في الجامعات,there are mothers and fathers who will lie awake after the children fall asleep and wonder how theyll make the mortgage or pay their doctors bills or save enough for their childs college education
سازورك غدا,ill visit you tomorrow
هل يمكنك ايصالي الي المحطه,could you give me a ride to the station
اعدت الكتاب الي المكتبه,i returned the book to the library
ليس هناك امل بتعافيه,there is no hope of his recovery
شعري لونه بني فاتح,my hair is light brown
لا تنظر الي الوراء,dont look back
انها مئه دولار,it was a one hundred dollar bill
استدارت بابتسامه,she turned around and smiled
استغل كل فرصه,take advantage of every opportunity
من اكل الخبز,who ate the bread
الغيت المباراه,the game was suspended
امل الا تنشب الحرب,i hope war doesnt break out
انا لا استطيع شكرك بما يكفي علي كل لطفك,i cannot thank you enough for all your kindness
توم تنهد بعمق,tom sighed deeply
اريد ان اعرف من سياتي معنا,i want to know who is coming with us
ما ياتي سهلا يذهب سهلا,easy come easy go
ستمطر قريبا,it may rain soon
هو احد اعظم فناني اليابان,he is one of the greatest artists in japan
ساخذه معي,ill take him
اوقفهم,stop them
كان توم يعمل عندي,tom was working for me
انا اعرفها,i know her
لدينا مكتبه مدرسيه جميله,we have a nice school library
اركض باقصي سرعه,run as fast as possible
اهذا كل ما اردت قوله,is that all you wanted to tell me
ليسوا مزارعين,they arent farmers
لم لا نتفق علي الا نتفق فحسب,why dont we just agree to disagree
ايمكنك ان تقترح فكره افضل,can you suggest a better idea
الاطفال يموتون,children are dying
ماذا تعمل عمتك,what does your aunt do
جدجد محتجز ياكل نفس ما ياكله نظيره الحر,a caged cricket eats just as much as a free cricket
اريد ان اذهب الي امريكا في يوم من الايام,i want to go to america someday
ضع المسدس علي الطاوله,put the gun on the table
لن نفعل ذلك,we arent going to do that
انك تشتكي دائما,you are always complaining
اي نوع من الفواكه تريد,what kind of fruit do you want
استيقظت السابعه صباحا,i got up at seven this morning
لا شك في ذلك,there is no doubt about it
يستحيل انهاء التقرير في غضون اسبوع,it is impossible to finish the report in a week
انني استمع الي المذياع,im listening to the radio
التفاصيل ليست مهمه,the details arent necessary
لم افهمه علي الاطلاق,i did not understand him at all
اتمنتي فقط لو استطعت تكلم الفرنسيه,i just wish i knew how to speak french
يجب علي ان اتي يوم الاثنين,i have to come on monday
ترك توم البوابه مفتوحه,tom left the gate open
لقد مرت بالكثير من الصعوبات,she has gone through many difficulties
اعزف الكمان,i play violin
توم يشاهد,tom is watching
توم يفقد كثيرا من الدم,tom is losing blood
علي ان ادرس للامتحان,i have to study for the test
ما عنوان بيتك,whats your home address
نحن لا نعرف عنه شيئا,we dont know him
انه متدين كاثوليكي,hes a devout catholic
اريد ان اصبح طبيبا,i want to be a doctor
من فضلك تنحي جانبا,please step back
لا تفعل ذلك,dont do it
الارض كرويه,the earth is round
ايمكنني استعاره هذا الكتاب,may i borrow this book
انك فيلسوف اليس ذلك صحيحا,youre a philosopher arent you
من فضلك اخبرني كيف اكون علي تواصل معها,please tell me how i can get in touch with her
هذه التفاحه حمراء جدا,this apple is very red
لقد تعلمت الكثير,ive learned a lot
صداقتك تعني لي الكثير,your friendship means a lot to me
هل شاهدت هذا الفلم,did you watch this movie
تعرضوا طريق السياح و طلبو منهم المال,they approached the tourists and asked them for money
لقد كانت تستحق التكلفه,it was well worth the cost
ساقاضيك,i will sue you
توم لا يعرف باني موجود,tom doesnt even know i exist
لم اشتريت هذه السياره,why did you buy this car
لا اريد رؤيتك مره ثانيه,i dont want to see you again
لا اريد وظيفه بدوام كامل,i dont want a fulltime job
انا لا امزح,im serious
دعونا نكون صادقين مع بعض,lets be honest with each other
ساترك القرار لك,ill leave the decision to you
ما ثمن هذه القبعه,what is the price of this cap
هلا ساعدتني ساكون مسرورا بذلك,will you help me ill be glad to
سافعل اي شيء لحمايتك,id do anything to protect you
هل من الممكن انها بالفعل الساعه الثامنه,is it possible that its already eight oclock
فرصتنا في الفوز ضئيله,we have little chance of winning
هذه قصه حقيقيه,this story is true
توم شخص جيد,tom is a good person
هذا جيد جدا,its very good
عملت عملا شاقا لكي ادعم عائلتي,i worked hard in order to support my family
اريد ان اقضي وقتا اكثر معك وحدنا,i want to spend more time alone with you
هل انت قريبه,are you related to him
هل تريديني حقا ان افعل هذا,do you really want me to do that
احرص علي ان تتصل بي صباح الغد,be sure to call me up tomorrow morning
خذ الحكمه من افواه المجانين,even idiots can give good advice
مدريد هي عاصمه اسبانيا,madrid is the capital of spain
كم قلما عندك,how many pens do you have
لا احبها,i dont like her
متي ما انتهيت من كتابه التقرير سارسله اليك,as soon as i finish writing the report ill send it to you
لا ادري,i dont know
انا لست متعبا,im not tired
احدي حقائبي مفقوده,one of my bags is missing
المطرقه والمنجل يرمزان للشيوعيه,the hammer and sickle symbolizes communism
اتناول الغداء عند الظهيره مع اصدقائي,i have lunch at noon with my friends
كيف تعلم ذلك,how do you know that
علي ان اساعده,i must help him
توم موجود في المنزل,tom is in the house
عليك اصلاح ربطه عنقك,you should fix your tie
اود ان اعرف اسمها,i would like to know her name
احب الطريقه التي تعامليني بها,i like the way you treat me
يبلغ متحدثي اللغه الانجليزيه مليار نسمه,one billion people speak english
